Title,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri
Koukaku Kidoutai 2: Innocence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0.447213595499958,0,0,0,0.447213595499958,0.447213595499958,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartcatch Precure!,0.377964473009227,0,0,0.377964473009227,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0.377964473009227,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0
Hidamari Sketch x 365,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Ginga Tetsudou 999,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Gundam Build Fighters,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghost Hunt,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0
Gakuen Babysitters,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
Detective Conan Movie 23: The Fist of Blue Sapphire,0.408248290463863,0,0,0.408248290463863,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0.408248290463863,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0
Bleach,0.408248290463863,0.408248290463863,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0
Akagami no Shirayuki-hime,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
91 Days,0.577350269189626,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf's Rain,0.408248290463863,0.408248290463863,0,0,0,0,0.408248290463863,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tentai Senshi Sunred,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0
Shingeki no Kyojin OVA,0.447213595499958,0,0,0,0,0,0.447213595499958,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0,0,0,0
Maria-sama ga Miteru 4th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,0,0.447213595499958,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0
Karakai Jouzu no Takagi-san,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0.447213595499958,0,0,0,0,0,0,0,0
Junjou Romantica,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Fate/Grand Order: Zettai Majuu Sensen Babylonia,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Emiya-san Chi no Kyou no Gohan,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0
Charlotte,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0
Capeta,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0.577350269189626,0,0,0,0,0,0
Break Blade 5: Shisen no Hate,0.447213595499958,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0.447213595499958,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0
Aggressive Retsuko (ONA) 2nd Season,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0
Yao Shen Ji 3rd Season,0.408248290463863,0.408248290463863,0,0,0,0.408248290463863,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space☆Dandy,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0
Slayers Try,0,0.408248290463863,0,0.408248290463863,0,0.408248290463863,0,0,0.408248290463863,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0
Seikai no Senki II,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0.447213595499958,0,0,0.447213595499958,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0
Mobile Suit Gundam Wing: Endless Waltz Movie,0.408248290463863,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0
Kyou kara Maou! 3rd Series,0,0.447213595499958,0,0.447213595499958,0,0.447213595499958,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0
Kokoro Connect,0,0,0,0.408248290463863,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0.408248290463863,0,0,0,0,0,0,0.408248290463863,0,0,0,0.408248290463863,0,0,0,0
Jungle wa Itsumo Hare nochi Guu Deluxe,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0
Hybrid Child,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0
Hakuouki Movie 2: Shikon Soukyuu,0.408248290463863,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0.408248290463863,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0
